datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count_predicted
05-06-2012 5:00,2,0,1,3,19.68,23.485,82,11.0014,22
19-03-2011 19:00,1,0,0,1,18.04,21.97,33,19.0012,96
02-04-2012 6:00,2,0,1,1,13.88503793,16.24664,68,29.52646002,63
13-07-2012 20:00,3,0,1,1,30.34,33.335,48,8.9981,528
09-11-2011 19:00,4,0,1,1,18.04,21.97,72,7.0015,329
10-03-2012 0:00,1,0,0,1,12.3,13.635,36,23.9994,65
19-05-2011 13:00,2,0,1,3,23.78,27.275,64,16.9979,97
01-05-2011 8:00,2,0,0,2,18.04,21.97,77,8.9981,106
07-07-2012 8:00,3,0,0,1,33.62,41.665,63,12.998,97
07-05-2011 16:00,2,0,0,1,24.6,31.06,38,12.998,712
09-04-2011 11:00,2,0,0,2,14.76,18.18,81,0.0,141
16-06-2011 04:00,2,0,1,2,22.96,26.515,68,7.0015,10
13-07-2012 22:00,3,0,1,1,30.34,33.335,45,0.0,252
02-03-2012 14:00,1,0,1,2,18.55576241,21.26204857,49,19.08383766,153
18-05-2012 15:00,2,0,1,1,27.06,31.06,36,12.998,372
14-12-2011 22:00,4,0,1,1,13.94,16.665,66,11.0014,138
17-02-2012 19:00,1,0,1,1,15.58,19.695,37,15.0013,243
15-04-2012 18:00,2,0,0,1,28.7,31.82,42,16.9979,253
06-10-2012 23:00,4,0,0,1,18.04,21.97,62,8.9981,224
17-07-2012 00:00,3,0,1,1,29.52,35.605,84,7.0015,44
13-09-2012 11:00,3,0,1,1,27.06,31.06,50,11.0014,243
13-01-2012 07:00,1,0,1,1,10.66,12.88,60,15.0013,115
11-08-2012 8:00,3,0,0,1,27.06,30.305,83,7.0015,97
17-09-2011 08:00,3,0,0,2,18.86,22.725,77,16.9979,53
04-11-2011 11:00,4,0,1,2,18.04,21.97,67,30.0026,135
01-10-2011 11:00,4,0,0,3,15.58,19.695,82,22.0028,71
03-03-2011 12:00,1,0,1,1,9.02,11.365,25,8.9981,49
05-12-2012 19:00,4,0,1,1,15.58,19.695,43,23.9994,336
18-06-2012 23:00,2,0,1,3,24.6,28.79,78,12.998,47
19-09-2012 18:00,3,0,1,1,23.78,27.275,40,19.0012,698
08-11-2011 19:00,4,0,1,1,18.86,22.725,59,0.0,348
18-02-2011 13:00,1,0,1,1,24.6,31.06,43,12.998,84
07-11-2011 10:00,4,0,1,1,14.76,17.425,93,8.9981,192
10-08-2011 14:00,3,0,1,1,34.44,36.365,34,22.0028,151
02-05-2012 0:00,2,0,1,1,24.6,28.79,78,7.0015,59
14-01-2011 14:00,1,0,1,1,9.02,10.605,41,19.0012,73
17-07-2011 01:00,3,0,0,1,26.24,30.305,69,12.998,72
14-07-2011 15:00,3,0,1,1,31.16,33.335,33,19.9995,249
04-03-2011 3:00,1,0,1,2,7.38,8.335,74,16.9979,1
18-12-2012 15:00,4,0,1,1,18.86,22.725,44,32.9975,352
14-12-2012 10:00,4,0,1,1,10.66,12.88,81,12.998,263
14-05-2011 03:00,2,0,0,2,20.5,24.24,88,8.9981,13
19-03-2012 23:00,1,0,1,2,22.96,26.515,78,8.9981,118
08-01-2011 5:00,1,0,0,2,6.56,8.335,74,11.0014,2
13-08-2011 06:00,3,0,0,1,26.24,30.305,73,6.0032,28
04-08-2011 2:00,3,0,1,2,27.06,29.545,94,6.0032,7
03-02-2012 5:00,1,0,1,1,10.66,12.88,60,15.0013,12
16-12-2012 21:00,4,0,0,2,14.76,18.94,93,0.0,122
04-01-2011 9:00,1,0,1,1,6.852233045,5.350293027,64,14.83933196,164
06-04-2011 1:00,2,0,1,1,10.66,13.635,60,8.9981,8
09-03-2012 11:00,1,0,1,2,14.76,16.665,34,23.9994,122
12-10-2012 20:00,4,0,1,1,17.22,21.21,47,8.9981,445
14-06-2011 20:00,2,0,1,1,24.6,31.06,56,11.0014,349
06-12-2012 2:00,4,0,1,1,9.833147539,12.32732446,51,19.62863142,8
03-12-2012 2:00,4,0,1,1,17.22,21.21,77,11.0014,7
10-07-2011 17:00,3,0,0,1,34.44,37.12,36,15.0013,383
09-01-2012 22:00,1,0,1,2,8.174697339,12.70844557,94,5.351659395,63
10-01-2012 17:00,1,0,1,1,17.22,21.21,38,16.9979,364
07-08-2012 4:00,3,0,1,1,27.88,31.82,83,8.9981,11
17-01-2011 04:00,1,1,0,2,7.38,9.85,43,8.9981,1
03-05-2011 15:00,2,0,1,2,28.7,32.575,58,30.0026,275
08-04-2012 7:00,2,0,0,1,15.58,19.695,27,11.0014,55
04-07-2011 5:00,3,1,0,2,25.71096717,29.41123364,85,8.657908077,6
13-01-2011 14:00,1,0,1,1,9.02,9.85,41,26.0027,70
18-08-2012 23:00,3,0,0,1,26.24,30.305,65,6.0032,210
11-12-2012 0:00,4,0,1,3,18.86,22.725,77,31.0009,24
11-03-2012 9:00,1,0,0,1,10.66,12.88,60,15.0013,92
18-03-2012 08:00,1,0,0,2,17.22,21.21,88,7.0015,99
06-12-2011 3:00,4,0,1,2,18.86,22.725,87,12.998,6
05-11-2011 14:00,4,0,0,1,17.92999931,21.56071913,36,7.499717921,585
10-10-2012 11:00,4,0,1,1,22.14,25.76,52,12.998,288
02-11-2011 20:00,4,0,1,1,16.42419071,20.84145211,67,8.494644305,273
18-07-2011 21:00,3,0,1,1,30.34,34.85,66,12.998,310
09-03-2011 15:00,1,0,1,2,14.76,16.665,71,19.9995,113
10-12-2012 17:00,4,0,1,2,19.68,23.485,82,19.0012,348
02-01-2011 20:00,1,0,0,1,12.3,13.635,39,23.9994,31
01-10-2012 10:00,4,0,1,1,22.14,25.76,56,0.0,351
17-07-2012 14:00,3,0,1,1,38.54,41.665,29,16.9979,175
07-03-2012 15:00,1,0,1,1,22.14,25.76,37,30.0026,273
09-02-2011 22:00,1,0,1,3,6.56,8.335,80,11.0014,44
16-01-2011 01:00,1,0,0,1,10.66,13.635,56,8.9981,32
19-02-2012 12:00,1,0,0,2,11.48,13.635,52,16.9979,186
09-02-2011 2:00,1,0,1,1,3.28,3.79,38,19.0012,2
06-09-2011 9:00,3,0,1,2,22.14,25.76,81,27.9993,371
11-06-2011 8:00,2,0,0,1,30.34,34.09,58,12.998,137
08-02-2011 2:00,1,0,1,2,10.66,13.635,93,7.0015,5
15-08-2012 14:00,3,0,1,2,31.16,34.85,52,19.9995,196
17-05-2011 12:00,2,0,1,3,24.28913044,26.31766832,81,28.32985949,46
03-04-2012 18:00,2,0,1,1,24.6,30.305,26,11.0014,509
14-05-2011 07:00,2,0,0,3,19.68,23.485,100,0.0,31
06-01-2011 8:00,1,0,1,1,6.56,11.365,59,0.0,127
04-05-2011 22:00,2,0,1,1,15.58,19.695,62,15.0013,134
14-08-2011 18:00,3,0,0,1,30.34,34.85,66,11.0014,281
01-12-2012 18:00,4,0,0,2,13.94,18.18,76,0.0,250
11-01-2011 17:00,1,0,1,2,6.56,7.575,86,15.0013,67
10-02-2011 17:00,1,0,1,1,6.832442159,8.570047184,26,13.72980121,169
08-02-2011 23:00,1,0,1,1,4.92,5.305,33,22.0028,22
13-03-2011 04:00,1,0,0,1,13.94,16.665,66,11.0014,5
